run,t_rel_s,process_count,total_working_set_mb,per_process
1,0.0,3,162.4,8360=42.2MB; 17648=81.4MB; 19764=38.8MB
1,3.2,4,391.7,8360=49.9MB; 17648=95.8MB; 19764=134.8MB; 20484=111.2MB
1,6.4,5,517.6,8360=49.9MB; 15144=78.0MB; 17648=120.7MB; 19764=152.1MB; 20484=116.9MB
1,9.6,5,535.1,8360=49.9MB; 15144=78.1MB; 17648=120.6MB; 19764=166.2MB; 20484=120.3MB
1,12.8,5,534.4,8360=49.9MB; 15144=78.1MB; 17648=120.6MB; 19764=161.9MB; 20484=123.9MB
1,16.0,5,538.8,8360=49.9MB; 15144=78.1MB; 17648=120.6MB; 19764=162.0MB; 20484=128.2MB
1,19.2,5,538.4,8360=49.9MB; 15144=78.2MB; 17648=120.6MB; 19764=163.6MB; 20484=126.1MB
1,22.4,5,539.4,8360=49.9MB; 15144=78.2MB; 17648=120.5MB; 19764=164.3MB; 20484=126.5MB
1,25.6,5,541.6,8360=49.9MB; 15144=78.3MB; 17648=122.0MB; 19764=164.2MB; 20484=127.2MB
1,28.9,5,547.1,8360=49.9MB; 15144=78.3MB; 17648=122.1MB; 19764=169.1MB; 20484=127.7MB
1,32.0,5,534.6,8360=49.8MB; 15144=78.3MB; 17648=119.7MB; 19764=170.6MB; 20484=116.2MB
2,38.2,2,91.8,18704=26.8MB; 18768=65.0MB
2,41.4,4,391.4,1260=111.1MB; 18704=134.6MB; 18768=95.7MB; 20288=50.0MB
2,44.7,5,523.6,1260=116.8MB; 18704=158.7MB; 18768=120.3MB; 20288=50.0MB; 21016=77.8MB
2,47.9,5,537.6,1260=120.3MB; 18704=169.1MB; 18768=120.4MB; 20288=50.0MB; 21016=77.8MB
2,51.1,5,534.4,1260=124.0MB; 18704=162.2MB; 18768=120.4MB; 20288=50.0MB; 21016=77.8MB
2,54.3,5,539.3,1260=128.7MB; 18704=162.2MB; 18768=120.6MB; 20288=50.0MB; 21016=77.8MB
2,57.5,5,540.0,1260=126.8MB; 18704=164.7MB; 18768=120.6MB; 20288=50.0MB; 21016=77.9MB
2,60.7,5,545.9,1260=127.3MB; 18704=170.2MB; 18768=120.5MB; 20288=50.0MB; 21016=77.9MB
2,63.9,5,547.3,1260=127.9MB; 18704=169.5MB; 18768=121.9MB; 20288=50.0MB; 21016=78.0MB
2,67.0,5,547.6,1260=128.3MB; 18704=169.2MB; 18768=122.1MB; 20288=50.0MB; 21016=78.0MB
2,70.2,5,531.6,1260=116.2MB; 18704=168.7MB; 18768=118.8MB; 20288=49.9MB; 21016=78.0MB
2,73.5,5,532.7,1260=117.2MB; 18704=168.7MB; 18768=118.9MB; 20288=49.9MB; 21016=78.0MB
2,76.7,5,535.6,1260=119.9MB; 18704=168.8MB; 18768=119.0MB; 20288=49.9MB; 21016=78.0MB
2,79.9,5,537.7,1260=121.8MB; 18704=168.9MB; 18768=119.1MB; 20288=49.9MB; 21016=78.0MB
2,83.1,5,538.7,1260=122.8MB; 18704=168.9MB; 18768=119.1MB; 20288=49.9MB; 21016=78.0MB
2,86.3,5,540.6,1260=124.8MB; 18704=168.7MB; 18768=119.2MB; 20288=49.9MB; 21016=78.0MB
2,89.5,5,542.2,1260=126.4MB; 18704=168.8MB; 18768=119.1MB; 20288=49.9MB; 21016=78.0MB
2,92.8,5,542.5,1260=126.6MB; 18704=168.8MB; 18768=119.2MB; 20288=49.9MB; 21016=78.0MB
2,96.0,5,542.9,1260=126.8MB; 18704=168.9MB; 18768=119.3MB; 20288=49.9MB; 21016=78.0MB
2,99.2,5,539.8,1260=124.7MB; 18704=168.7MB; 18768=118.5MB; 20288=49.9MB; 21016=78.0MB
2,102.4,5,539.4,1260=124.1MB; 18704=168.8MB; 18768=118.6MB; 20288=49.9MB; 21016=78.0MB
2,105.6,5,540.4,1260=124.6MB; 18704=168.9MB; 18768=119.0MB; 20288=49.9MB; 21016=78.0MB
2,108.8,5,540.3,1260=124.9MB; 18704=168.9MB; 18768=118.6MB; 20288=49.9MB; 21016=78.0MB
2,112.1,5,542.0,1260=126.4MB; 18704=168.9MB; 18768=118.8MB; 20288=49.9MB; 21016=78.0MB
2,115.3,5,539.0,1260=124.1MB; 18704=168.2MB; 18768=118.8MB; 20288=49.9MB; 21016=78.0MB
2,118.5,5,537.7,1260=124.0MB; 18704=167.0MB; 18768=118.8MB; 20288=49.9MB; 21016=78.0MB
2,121.7,5,538.2,1260=124.8MB; 18704=166.6MB; 18768=118.9MB; 20288=49.9MB; 21016=78.0MB
2,124.9,5,538.5,1260=125.2MB; 18704=166.5MB; 18768=118.9MB; 20288=49.9MB; 21016=78.0MB
2,128.1,5,538.1,1260=124.7MB; 18704=166.6MB; 18768=118.9MB; 20288=49.9MB; 21016=78.0MB
2,131.3,5,539.0,1260=125.6MB; 18704=166.5MB; 18768=119.0MB; 20288=49.9MB; 21016=78.0MB
