figure_id,category,status,count,denominator
F01,graph,deterministic,1,7
F01,graph,manual,6,7
F01,graph,reference_pending,0,7
F01,sorting,deterministic,3,8
F01,sorting,manual,5,8
F01,sorting,reference_pending,0,8
F01,tree,deterministic,7,8
F01,tree,manual,1,8
F01,tree,reference_pending,0,8
F01,linear_list,deterministic,5,7
F01,linear_list,manual,2,7
F01,linear_list,reference_pending,0,7
F02,A,completed,40,40
F02,A,failed,0,40
F02,A,blocked,0,40
F02,A,cancelled,0,40
F02,A,not_started,0,40
F02,B,completed,36,40
F02,B,failed,4,40
F02,B,blocked,0,40
F02,B,cancelled,0,40
F02,B,not_started,0,40
F03,textbook,verified,7,347
F03,textbook,pending,340,347
F04,active_explanation_request,constructed_case,5,40
F04,cold_start,constructed_case,5,40
F04,consecutive_errors,constructed_case,5,40
F04,hint_then_success,constructed_case,5,40
F04,insufficient_evidence,constructed_case,5,40
F04,low_progress,constructed_case,5,40
F04,misconception,constructed_case,5,40
F04,prior_insufficient,constructed_case,5,40
F05,A,completed,40,40
F05,A,failed,0,40
F05,A,blocked,0,40
F05,A,cancelled,0,40
F05,A,not_started,0,40
F05,B,completed,36,40
F05,B,failed,4,40
F05,B,blocked,0,40
F05,B,cancelled,0,40
F05,B,not_started,0,40
