run_id,case_id,group,turn_index,elapsed_ms,prompt_tokens,completion_tokens,total_tokens,model_calls,terminal_status
run_20260923T235151Z_ed03930c,DSDEV-001,A,1,7110.0,1998,1190,3188,1,ok
run_20260923T235151Z_ed03930c,DSDEV-001,B,1,,2218,4096,6314,1,failed
run_20260923T235151Z_ed03930c,DSDEV-002,A,1,5000.0,1912,743,2655,1,ok
run_20260923T235151Z_ed03930c,DSDEV-002,B,1,7547.0,141,1099,1240,1,ok
run_20260923T235151Z_ed03930c,DSDEV-003,A,1,6563.0,2040,1058,3098,1,ok
run_20260923T235151Z_ed03930c,DSDEV-003,B,1,6578.0,148,923,1071,1,ok
run_20260923T235151Z_ed03930c,DSDEV-004,A,1,6078.0,2012,962,2974,1,ok
run_20260923T235151Z_ed03930c,DSDEV-004,B,1,4422.0,140,651,791,1,ok
run_20260923T235151Z_ed03930c,DSDEV-005,A,1,5453.0,1978,889,2867,1,ok
run_20260923T235151Z_ed03930c,DSDEV-005,B,1,17046.0,2198,3091,5289,1,ok
run_20260923T235151Z_ed03930c,DSDEV-006,A,1,4453.0,1883,655,2538,1,ok
run_20260923T235151Z_ed03930c,DSDEV-006,B,1,5453.0,155,762,917,1,ok
run_20260923T235151Z_ed03930c,DSDEV-007,A,1,4422.0,1525,632,2157,1,ok
run_20260923T235151Z_ed03930c,DSDEV-007,B,1,8094.0,148,1246,1394,1,ok
run_20260923T235151Z_ed03930c,DSDEV-008,A,1,9657.0,1947,1577,3524,1,ok
run_20260923T235151Z_ed03930c,DSDEV-008,B,1,5469.0,150,835,985,1,ok
run_20260923T235151Z_ed03930c,DSDEV-009,A,1,5984.0,2054,822,2876,1,ok
run_20260923T235151Z_ed03930c,DSDEV-009,B,1,3313.0,149,495,644,1,ok
run_20260923T235151Z_ed03930c,DSDEV-010,A,1,6578.0,1789,1006,2795,1,ok
run_20260923T235151Z_ed03930c,DSDEV-010,B,1,7625.0,152,1185,1337,1,ok
run_20260923T235151Z_ed03930c,DSDEV-011,A,1,203.0,0,0,0,0,ok
run_20260923T235151Z_ed03930c,DSDEV-011,B,1,750.0,0,0,0,0,ok
run_20260923T235151Z_ed03930c,DSDEV-012,A,1,235.0,0,0,0,0,ok
run_20260923T235151Z_ed03930c,DSDEV-012,B,1,734.0,0,0,0,0,ok
run_20260923T235151Z_ed03930c,DSDEV-013,A,1,6063.0,1820,883,2703,1,ok
run_20260923T235151Z_ed03930c,DSDEV-013,B,1,750.0,0,0,0,0,ok
run_20260923T235151Z_ed03930c,DSDEV-014,A,1,6563.0,2026,1072,3098,1,ok
run_20260923T235151Z_ed03930c,DSDEV-014,B,1,703.0,0,0,0,0,ok
run_20260923T235151Z_ed03930c,DSDEV-015,A,1,8094.0,1901,1358,3259,1,ok
run_20260923T235151Z_ed03930c,DSDEV-015,B,1,734.0,0,0,0,0,ok
run_20260923T235151Z_ed03930c,DSDEV-016,A,1,3969.0,1384,582,1966,1,ok
run_20260923T235151Z_ed03930c,DSDEV-016,A,2,7078.0,1934,1193,3127,1,ok
run_20260923T235151Z_ed03930c,DSDEV-016,A,3,11344.0,1998,1933,3931,1,ok
run_20260923T235151Z_ed03930c,DSDEV-016,B,1,3329.0,145,389,534,1,ok
run_20260923T235151Z_ed03930c,DSDEV-016,B,2,4438.0,142,631,773,1,ok
run_20260923T235151Z_ed03930c,DSDEV-016,B,3,,2224,4096,6320,1,failed
run_20260923T235151Z_ed03930c,DSDEV-017,A,1,6515.0,1745,1167,2912,1,ok
run_20260923T235151Z_ed03930c,DSDEV-017,A,2,6578.0,1934,959,2893,1,ok
run_20260923T235151Z_ed03930c,DSDEV-017,A,3,9187.0,1998,1361,3359,1,ok
run_20260923T235151Z_ed03930c,DSDEV-017,B,1,8078.0,144,1263,1407,1,ok
run_20260923T235151Z_ed03930c,DSDEV-017,B,2,7093.0,142,1014,1156,1,ok
run_20260923T235151Z_ed03930c,DSDEV-017,B,3,17062.0,2224,3071,5295,1,ok
run_20260923T235151Z_ed03930c,DSDEV-018,A,1,11297.0,1633,1918,3551,1,ok
run_20260923T235151Z_ed03930c,DSDEV-018,A,2,6078.0,1934,975,2909,1,ok
run_20260923T235151Z_ed03930c,DSDEV-018,A,3,17657.0,1998,2937,4935,1,ok
run_20260923T235151Z_ed03930c,DSDEV-018,B,1,4969.0,149,725,874,1,ok
run_20260923T235151Z_ed03930c,DSDEV-018,B,2,6516.0,142,870,1012,1,ok
run_20260923T235151Z_ed03930c,DSDEV-018,B,3,,2224,4097,6321,1,failed
run_20260923T235151Z_ed03930c,DSDEV-019,A,1,8172.0,2030,1429,3459,1,ok
run_20260923T235151Z_ed03930c,DSDEV-019,A,2,5531.0,1934,848,2782,1,ok
run_20260923T235151Z_ed03930c,DSDEV-019,A,3,6063.0,1998,906,2904,1,ok
run_20260923T235151Z_ed03930c,DSDEV-019,B,1,15375.0,150,2532,2682,1,ok
run_20260923T235151Z_ed03930c,DSDEV-019,B,2,6000.0,142,806,948,1,ok
run_20260923T235151Z_ed03930c,DSDEV-019,B,3,21781.0,2224,3919,6143,1,ok
run_20260923T235151Z_ed03930c,DSDEV-020,A,1,6000.0,2203,1010,3213,1,ok
run_20260923T235151Z_ed03930c,DSDEV-020,A,2,8688.0,1934,1333,3267,1,ok
run_20260923T235151Z_ed03930c,DSDEV-020,A,3,8672.0,1998,1424,3422,1,ok
run_20260923T235151Z_ed03930c,DSDEV-020,B,1,8109.0,145,1283,1428,1,ok
run_20260923T235151Z_ed03930c,DSDEV-020,B,2,8094.0,142,1324,1466,1,ok
run_20260923T235151Z_ed03930c,DSDEV-020,B,3,,2224,4095,6319,1,failed
run_20260923T235151Z_ed03930c,DSDEV-021,A,1,3375.0,1964,531,2495,1,ok
run_20260923T235151Z_ed03930c,DSDEV-021,A,2,10203.0,1639,1654,3293,1,ok
run_20260923T235151Z_ed03930c,DSDEV-021,A,3,19594.0,1936,3637,5573,1,ok
run_20260923T235151Z_ed03930c,DSDEV-021,B,1,13344.0,142,2006,2148,1,ok
run_20260923T235151Z_ed03930c,DSDEV-021,B,2,750.0,0,0,0,0,ok
run_20260923T235151Z_ed03930c,DSDEV-021,B,3,750.0,0,0,0,0,ok
run_20260923T235151Z_ed03930c,DSDEV-022,A,1,7579.0,1720,1079,2799,1,ok
run_20260923T235151Z_ed03930c,DSDEV-022,A,2,7110.0,1639,1012,2651,1,ok
run_20260923T235151Z_ed03930c,DSDEV-022,A,3,8625.0,1936,1229,3165,1,ok
run_20260923T235151Z_ed03930c,DSDEV-022,B,1,9156.0,147,1269,1416,1,ok
run_20260923T235151Z_ed03930c,DSDEV-022,B,2,734.0,0,0,0,0,ok
run_20260923T235151Z_ed03930c,DSDEV-022,B,3,750.0,0,0,0,0,ok
run_20260923T235151Z_ed03930c,DSDEV-023,A,1,4437.0,2070,574,2644,1,ok
run_20260923T235151Z_ed03930c,DSDEV-023,A,2,10250.0,1639,1486,3125,1,ok
run_20260923T235151Z_ed03930c,DSDEV-023,A,3,15375.0,1936,2321,4257,1,ok
run_20260923T235151Z_ed03930c,DSDEV-023,B,1,13813.0,145,1997,2142,1,ok
run_20260923T235151Z_ed03930c,DSDEV-023,B,2,703.0,0,0,0,0,ok
run_20260923T235151Z_ed03930c,DSDEV-023,B,3,734.0,0,0,0,0,ok
run_20260923T235151Z_ed03930c,DSDEV-024,A,1,11234.0,1838,1489,3327,1,ok
run_20260923T235151Z_ed03930c,DSDEV-024,A,2,9688.0,1639,1313,2952,1,ok
run_20260923T235151Z_ed03930c,DSDEV-024,A,3,13875.0,1936,2064,4000,1,ok
run_20260923T235151Z_ed03930c,DSDEV-024,B,1,7563.0,145,896,1041,1,ok
run_20260923T235151Z_ed03930c,DSDEV-024,B,2,766.0,0,0,0,0,ok
run_20260923T235151Z_ed03930c,DSDEV-024,B,3,750.0,0,0,0,0,ok
run_20260923T235151Z_ed03930c,DSDEV-025,A,1,7094.0,1922,963,2885,1,ok
run_20260923T235151Z_ed03930c,DSDEV-025,A,2,9235.0,1639,1328,2967,1,ok
run_20260923T235151Z_ed03930c,DSDEV-025,A,3,13422.0,1936,1908,3844,1,ok
run_20260923T235151Z_ed03930c,DSDEV-025,B,1,13453.0,145,1866,2011,1,ok
run_20260923T235151Z_ed03930c,DSDEV-025,B,2,734.0,0,0,0,0,ok
run_20260923T235151Z_ed03930c,DSDEV-025,B,3,750.0,0,0,0,0,ok
run_20260923T235151Z_ed03930c,DSDEV-026,A,1,5531.0,2032,813,2845,1,ok
run_20260923T235151Z_ed03930c,DSDEV-026,B,1,7094.0,150,1014,1164,1,ok
run_20260923T235151Z_ed03930c,DSDEV-027,A,1,7094.0,1635,900,2535,1,ok
run_20260923T235151Z_ed03930c,DSDEV-027,B,1,9250.0,144,1309,1453,1,ok
run_20260923T235151Z_ed03930c,DSDEV-028,A,1,9188.0,1727,1423,3150,1,ok
run_20260923T235151Z_ed03930c,DSDEV-028,B,1,9172.0,143,1214,1357,1,ok
run_20260923T235151Z_ed03930c,DSDEV-029,A,1,3922.0,1971,476,2447,1,ok
run_20260923T235151Z_ed03930c,DSDEV-029,B,1,3938.0,141,283,424,1,ok
run_20260923T235151Z_ed03930c,DSDEV-030,A,1,5485.0,1851,667,2518,1,ok
run_20260923T235151Z_ed03930c,DSDEV-030,B,1,7610.0,144,983,1127,1,ok
run_20260923T235151Z_ed03930c,DSDEV-031,A,1,9234.0,2016,1496,3512,1,ok
run_20260923T235151Z_ed03930c,DSDEV-031,B,1,15468.0,2241,2680,4921,1,ok
run_20260923T235151Z_ed03930c,DSDEV-032,A,1,9766.0,1895,1544,3439,1,ok
run_20260923T235151Z_ed03930c,DSDEV-032,B,1,14500.0,2117,2502,4619,1,ok
run_20260923T235151Z_ed03930c,DSDEV-033,A,1,8140.0,1742,1310,3052,1,ok
run_20260923T235151Z_ed03930c,DSDEV-033,B,1,13875.0,1967,2416,4383,1,ok
run_20260923T235151Z_ed03930c,DSDEV-034,A,1,7125.0,1823,965,2788,1,ok
run_20260923T235151Z_ed03930c,DSDEV-034,B,1,14985.0,2046,2696,4742,1,ok
run_20260923T235151Z_ed03930c,DSDEV-035,A,1,5547.0,2090,830,2920,1,ok
run_20260923T235151Z_ed03930c,DSDEV-035,B,1,13953.0,2309,2415,4724,1,ok
run_20260923T235151Z_ed03930c,DSDEV-036,A,1,5532.0,1807,959,2766,1,ok
run_20260923T235151Z_ed03930c,DSDEV-036,A,2,9188.0,1930,1453,3383,1,ok
run_20260923T235151Z_ed03930c,DSDEV-036,A,3,7578.0,1908,1270,3178,1,ok
run_20260923T235151Z_ed03930c,DSDEV-036,B,1,12875.0,139,1956,2095,1,ok
run_20260923T235151Z_ed03930c,DSDEV-036,B,2,8078.0,139,1316,1455,1,ok
run_20260923T235151Z_ed03930c,DSDEV-036,B,3,4437.0,139,655,794,1,ok
run_20260923T235151Z_ed03930c,DSDEV-037,A,1,11828.0,1553,2133,3686,1,ok
run_20260923T235151Z_ed03930c,DSDEV-037,A,2,17125.0,1930,3267,5197,1,ok
